file	loc	warm_seconds	rc	checking_lines	warn_hits
src/CategoricalCrypto/UC/Machine/Budget.agda	56	12	0	5	0
src/CategoricalCrypto/UC/Machine/Dictionary.agda	414	24	0	1	0
src/CategoricalCrypto/UC/Machine/Dominated.agda	195	53	0	9	0
src/CategoricalCrypto/UC/Machine/Grading.agda	165	14	0	1	0
src/CategoricalCrypto/UC/Machine/Run.agda	124	9	0	1	0
src/CategoricalCrypto/UC/Machine/Run/Lax.agda	98	9	0	3	0
src/CategoricalCrypto/UC/Machine/Slide.agda	202	19	0	2	0
src/CategoricalCrypto/UC/Machine/Wire.agda	184	26	0	1	0
src/CategoricalCrypto/UC/Model.agda	43	12	0	11	0
src/CategoricalCrypto/UC/Model/Bridge.agda	221	9	0	1	0
src/CategoricalCrypto/UC/Model/Enrichment.agda	64	10	0	2	0
src/CategoricalCrypto/UC/Model/Environment.agda	64	9	0	1	0
src/CategoricalCrypto/UC/Model/Observation.agda	80	9	0	1	0
src/CategoricalCrypto/UC/Model/Pin.agda	92	9	0	3	0
src/CategoricalCrypto/UC/Model/Reading.agda	76	9	0	1	0
src/CategoricalCrypto/UC/Model/Seal.agda	95	9	0	1	0
src/CategoricalCrypto/UC/Model/Setup.agda	20	9	0	2	0
src/CategoricalCrypto/UC/Model/Unit.agda	129	9	0	1	0
src/CategoricalCrypto/UC/QueryBound.agda	495	18	0	1	0
src/CategoricalCrypto/UC/QueryBound/Compose.agda	331	19	0	2	0
src/CategoricalCrypto/UC/QueryBound/Compose/Laws.agda	71	11	0	2	0
src/CategoricalCrypto/UC/QueryBound/Compose/Step.agda	243	10	0	1	0
src/CategoricalCrypto/UC/QueryBound/Counting.agda	237	10	0	1	0
src/CategoricalCrypto/UC/QueryBound/Object.agda	65	9	0	1	0
src/CategoricalCrypto/UC/Seam.agda	178	9	0	1	0
src/CategoricalCrypto/UC/Seam/Adequacy.agda	104	11	0	3	0
src/CategoricalCrypto/UC/Seam/Adequacy/Wiring.agda	99	10	0	1	0
src/CategoricalCrypto/UC/Seam/Audit.agda	62	14	0	8	0
src/CategoricalCrypto/UC/Seam/Audit/Bounded.agda	107	17	0	12	0
src/CategoricalCrypto/UC/Seam/Budget.agda	184	10	0	1	0
src/CategoricalCrypto/UC/Seam/Carry.agda	96	9	0	1	0
src/CategoricalCrypto/UC/Seam/Extract.agda	100	10	0	1	0
src/CategoricalCrypto/UC/Seam/Grounded.agda	233	10	0	1	0
src/CategoricalCrypto/UC/Seam/Grounding.agda	173	10	0	1	0
src/CategoricalCrypto/UC/Seam/Grounding/Dead.agda	226	10	0	1	0
src/CategoricalCrypto/UC/Seam/Grounding/Prefix.agda	135	12	0	2	0
src/CategoricalCrypto/UC/Seam/Plug.agda	175	9	0	1	0
src/CategoricalCrypto/UC/Seam/Transfer.agda	355	12	0	3	0
src/Categories/Category/Monoidal/Utilities/Ext.agda	89	3	0	1	0
src/Categories/Functor/Monoidal/CurriedTensor/Properties.agda	53	8	0	1	0
src/Categories/GConstruction.agda	213	9	0	1	0
src/Categories/GConstructionEmbedding.agda	158	9	0	2	0
src/Categories/GConstructionHomCoherence.agda	174	30	0	1	0
src/Categories/GConstructionLoop.agda	97	9	0	1	0
src/Categories/GConstructionLoopCoherence.agda	123	68	0	1	0
src/Categories/GConstructionMonoidal.agda	276	96	0	5	0
src/Categories/GConstructionTensorCoherence.agda	251	61	0	1	0
src/Categories/GConstructionTrace.agda	148	8	0	1	0
src/Categories/GConstructionTraceCoherence.agda	94	9	0	1	0
src/Data/Sum/Ext.agda	29	2	0	1	0
src/ProbabilisticLogic/Distribution/RationalDist/Advantage.agda	76	6	0	1	0
src/ProbabilisticLogic/Distribution/RationalDist/Expectation.agda	157	6	0	1	0
src/ProbabilisticLogic/Distribution/Uniform.agda	248	6	0	1	0
src/ProbabilisticLogic/Distribution/Uniform/Birthday.agda	87	6	0	2	0
src/ProbabilisticLogic/Distribution/Uniform/Collision.agda	79	6	0	2	0
src/ProbabilisticLogic/Dp.agda	462	4	0	1	0
src/ProbabilisticLogic/Dp/Advantage.agda	127	6	0	2	0
src/ProbabilisticLogic/Dp/Dominate.agda	213	5	0	1	0
src/ProbabilisticLogic/Dp/Iter.agda	255	5	0	1	0
src/ProbabilisticLogic/Dp/Mass.agda	369	5	0	2	0
src/ProbabilisticLogic/Dp/Reasoning.agda	53	5	0	1	0
src/ProbabilisticLogic/Dp/Stable.agda	90	6	0	1	0
src/ProbabilisticLogic/Dp/Zero.agda	68	4	0	1	0
src/ProbabilisticLogic/Prelude.agda	30	6	0	2	0
CENSUS DONE
